2020-04-20 10:29:25 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:25 status half-configured libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:25 status installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:25 configure libglib2.0-0:amd64 2.58.3-2+deb10u2 <none>
2020-04-20 10:29:25 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-04-20 10:29:25 status half-configured libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-04-20 10:29:25 status installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-04-20 10:29:25 configure unzip:amd64 6.0-23+deb10u1 <none>
2020-04-20 10:29:25 status unpacked unzip:amd64 6.0-23+deb10u1
2020-04-20 10:29:25 status half-configured unzip:amd64 6.0-23+deb10u1
2020-04-20 10:29:25 status installed unzip:amd64 6.0-23+deb10u1
2020-04-20 10:29:25 configure libmagic1:amd64 1:5.35-4+deb10u1 <none>
2020-04-20 10:29:25 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:25 status half-configured libmagic1:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:25 status installed libmagic1:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:25 configure file:amd64 1:5.35-4+deb10u1 <none>
2020-04-20 10:29:25 status unpacked file:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:26 status half-configured file:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:26 status installed file:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:26 configure bzip2:amd64 1.0.6-9.2~deb10u1 <none>
2020-04-20 10:29:26 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2020-04-20 10:29:26 status half-configured bzip2:amd64 1.0.6-9.2~deb10u1
2020-04-20 10:29:26 status installed bzip2:amd64 1.0.6-9.2~deb10u1
2020-04-20 10:29:26 configure libglib2.0-data:all 2.58.3-2+deb10u2 <none>
2020-04-20 10:29:26 status unpacked libglib2.0-data:all 2.58.3-2+deb10u2
2020-04-20 10:29:26 status half-configured libglib2.0-data:all 2.58.3-2+deb10u2
2020-04-20 10:29:26 status installed libglib2.0-data:all 2.58.3-2+deb10u2
2020-04-20 10:29:26 configure libslang2:amd64 2.3.2-2 <none>
2020-04-20 10:29:26 status unpacked libslang2:amd64 2.3.2-2
2020-04-20 10:29:26 status half-configured libslang2:amd64 2.3.2-2
2020-04-20 10:29:26 status installed libslang2:amd64 2.3.2-2
2020-04-20 10:29:26 configure xz-utils:amd64 5.2.4-1 <none>
2020-04-20 10:29:26 status unpacked xz-utils:amd64 5.2.4-1
2020-04-20 10:29:26 status half-configured xz-utils:amd64 5.2.4-1
2020-04-20 10:29:26 status installed xz-utils:amd64 5.2.4-1
2020-04-20 10:29:26 configure shared-mime-info:amd64 1.10-1 <none>
2020-04-20 10:29:26 status unpacked shared-mime-info:amd64 1.10-1
2020-04-20 10:29:26 status half-configured shared-mime-info:amd64 1.10-1
2020-04-20 10:29:36 status installed shared-mime-info:amd64 1.10-1
2020-04-20 10:29:36 configure mc-data:all 3:4.8.22-1 <none>
2020-04-20 10:29:36 status unpacked mc-data:all 3:4.8.22-1
2020-04-20 10:29:36 status half-configured mc-data:all 3:4.8.22-1
2020-04-20 10:29:36 status installed mc-data:all 3:4.8.22-1
2020-04-20 10:29:36 configure libssh2-1:amd64 1.8.0-2.1 <none>
2020-04-20 10:29:36 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-04-20 10:29:36 status half-configured libssh2-1:amd64 1.8.0-2.1
2020-04-20 10:29:36 status installed libssh2-1:amd64 1.8.0-2.1
2020-04-20 10:29:36 configure netbase:all 5.6 <none>
2020-04-20 10:29:36 status unpacked netbase:all 5.6
2020-04-20 10:29:36 status half-configured netbase:all 5.6
2020-04-20 10:29:36 status installed netbase:all 5.6
2020-04-20 10:29:36 configure libgdbm6:amd64 1.18.1-4 <none>
2020-04-20 10:29:36 status unpacked libgdbm6:amd64 1.18.1-4
2020-04-20 10:29:36 status half-configured libgdbm6:amd64 1.18.1-4
2020-04-20 10:29:36 status installed libgdbm6:amd64 1.18.1-4
2020-04-20 10:29:36 configure mc:amd64 3:4.8.22-1 <none>
2020-04-20 10:29:36 status unpacked mc:amd64 3:4.8.22-1
2020-04-20 10:29:36 status half-configured mc:amd64 3:4.8.22-1
2020-04-20 10:29:36 status installed mc:amd64 3:4.8.22-1
2020-04-20 10:29:36 configure libgdbm-compat4:amd64 1.18.1-4 <none>
2020-04-20 10:29:36 status unpacked libgdbm-compat4:amd64 1.18.1-4
2020-04-20 10:29:36 status half-configured libgdbm-compat4:amd64 1.18.1-4
